event,year,gender,competition,round,lane,position,athlete,country,time,reaction_time
100m,2008,F,Olympics,table_7,1,5,Yuliya Nestsiarenka,Belarus,11.26,0.156
100m,2008,F,Olympics,table_7,3,3,Jeanette Kwakye,Great Britain,11.19,0.156
100m,2008,F,Olympics,table_7,4,2,Torri Edwards,United States,11.18,0.174
100m,2008,F,Olympics,table_7,5,7,Evgeniya Polyakova,Russia,11.38,0.173
100m,2008,F,Olympics,table_7,6,4,Debbie Ferguson-McKenzie,Bahamas,11.22,0.184
100m,2008,F,Olympics,table_7,7,1,Kerron Stewart,Jamaica,11.05,0.202
100m,2008,F,Olympics,table_7,8,6,Kim Gevaert,Belgium,11.3,0.194
100m,2008,F,Olympics,table_7,9,8,Oludamola Osayomi,Nigeria,11.44,0.208
100m,2008,F,Olympics,table_8,3,7,Debbie Ferguson,Bahamas,11.19,0.167
100m,2008,F,Olympics,table_8,5,5,Muna Lee,United States,11.07,0.234
100m,2008,F,Olympics,table_8,6,8,Torri Edwards,United States,11.2,0.179
100m,2008,F,Olympics,table_8,8,4,Lauryn Williams,United States,11.03,0.149
100m,2008,F,Olympics,table_8,9,6,Jeanette Kwakye,Great Britain,11.14,0.161
100m,2008,M,Olympics,table_23,2,8,Martial Mbandjock,France,10.18,0.148
100m,2008,M,Olympics,table_23,3,7,Naoki Tsukahara,Japan,10.16,0.143
100m,2008,M,Olympics,table_23,4,4,Darvis Patton,United States,10.03,0.149
100m,2008,M,Olympics,table_23,5,3,Churandy Martina,Netherlands Antilles,9.94,0.138
100m,2008,M,Olympics,table_23,6,1,Asafa Powell,Jamaica,9.91,0.161
100m,2008,M,Olympics,table_23,7,2,Richard Thompson,Trinidad and Tobago,9.93,0.175
100m,2008,M,Olympics,table_23,8,6,Francis Obikwelu,Portugal,10.1,0.157
100m,2008,M,Olympics,table_23,9,5,Tyson Gay,United States,10.05,0.145
100m,2008,M,Olympics,table_24,2,6,Michael Frater,Jamaica,9.97,0.147
100m,2008,M,Olympics,table_24,3,8,Darvis Patton,United States,10.03,0.142
100m,2008,M,Olympics,table_24,7,5,Asafa Powell,Jamaica,9.95,0.134
100m,2008,M,Olympics,table_24,8,7,Marc Burns,Trinidad and Tobago,10.01,0.145
100m,2008,M,Olympics,table_24,9,4,Churandy Martina,Netherlands Antilles,9.93,0.169
100m,2009,F,World Championships,table_10,1,8,Aleen Bailey,Jamaica,11.16,NA
100m,2009,F,World Championships,table_10,2,6,Debbie Ferguson-McKenzie,Bahamas,11.05,NA
100m,2009,F,World Championships,table_10,6,4,Veronica Campbell-Brown,Jamaica,10.95,NA
100m,2009,F,World Championships,table_10,7,7,Chandra Sturrup,Bahamas,11.05,NA
100m,2009,F,World Championships,table_10,8,5,Lauryn Williams,United States,11.01,NA
100m,2009,F,World Championships,table_9,1,6,Vida Anim,Ghana,11.43,NA
100m,2009,F,World Championships,table_9,2,8,Eleni Artymata,Cyprus,11.49,NA
100m,2009,F,World Championships,table_9,3,2,Veronica Campbell-Brown,Jamaica,11,NA
100m,2009,F,World Championships,table_9,4,1,Carmelita Jeter,United States,10.83,NA
100m,2009,F,World Championships,table_9,5,3,Chandra Sturrup,Bahamas,11.01,NA
100m,2009,F,World Championships,table_9,6,4,Aleen Bailey,Jamaica,11.16,NA
100m,2009,F,World Championships,table_9,7,7,Semoy Hackett,Trinidad and Tobago,11.45,NA
100m,2009,F,World Championships,table_9,8,5,Muna Lee,United States,11.18,NA
100m,2009,M,World Championships,table_11,1,7,Gerald Phiri,Zambia,10.19,NA
100m,2009,M,World Championships,table_11,2,6,Monzavous Edwards,United States,10.14,NA
100m,2009,M,World Championships,table_11,3,3,Richard Thompson,Trinidad and Tobago,9.98,NA
100m,2009,M,World Championships,table_11,4,2,Asafa Powell,Jamaica,9.95,NA
100m,2009,M,World Championships,table_11,5,1,Tyson Gay,United States,9.93,NA
100m,2009,M,World Championships,table_11,6,4,Dwain Chambers,Great Britain & N.I.,10.04,NA
100m,2009,M,World Championships,table_11,7,5,Michael Frater,Jamaica,10.14,NA
100m,2009,M,World Championships,table_11,8,8,Naoki Tsukahara,Japan,10.25,NA
