event,gender,competition,year,round_raw,lane,position,athlete,athlete,athlete,athlete,country,country,country,time_or_mark,reaction_time,reaction_time
100m,M,Olympics,2008,table_7,3,1,Usain Bolt,,,,Jamaica,,,10.2,0.186,
100m,M,Olympics,2008,table_7,9,2,Daniel Bailey,,,,Antigua and Barbuda,,,10.24,0.198,
100m,M,Olympics,2008,table_7,6,3,Vicente de Lima,,,,Brazil,,,10.26,0.168,
100m,M,Olympics,2008,table_7,2,4,Henry Vizcaíno,,,,Cuba,,,10.28,0.157,
100m,M,Olympics,2008,table_7,4,5,Fabio Cerutti,,,,Italy,,,10.49,0.136,
100m,M,Olympics,2008,table_7,5,6,Jurgen Themen,,,,Suriname,,,10.61,0.179,
100m,M,Olympics,2008,table_7,8,7,Moses Kamut,,,,Vanuatu,,,10.81,0.181,
100m,M,Olympics,2008,table_7,7,8,Francis Manioru,,,,Solomon Islands,,,11.09,0.197,
100m,M,Olympics,2008,table_8,5,1,Asafa Powell,,,,Jamaica,,,10.16,0.142,
100m,M,Olympics,2008,table_8,3,2,Kim Collins,,,,Saint Kitts and Nevis,,,10.17,0.162,
100m,M,Olympics,2008,table_8,7,3,Craig Pickering,,,,Great Britain,,,10.21,0.174,
100m,M,Olympics,2008,table_8,2,4,Daniel Grueso,,,,Colombia,,,10.35,0.178,
100m,M,Olympics,2008,table_8,9,5,Dariusz Kuć,,,,Poland,,,10.44,0.144,
100m,M,Olympics,2008,table_8,8,6,Béranger Bosse,,,,Central African Republic,,,10.51,0.144,
100m,M,Olympics,2008,table_8,6,7,Aisea Tohi,,,,Tonga,,,11.17,0.159,
100m,M,Olympics,2008,table_8,4,8,Roman William Cress,,,,Marshall Islands,,,11.18,0.19,
100m,M,Olympics,2008,table_9,8,1,Richard Thompson,,,,Trinidad and Tobago,,,10.24,0.188,
100m,M,Olympics,2008,table_9,5,2,Martial Mbandjock,,,,France,,,10.26,0.162,
100m,M,Olympics,2008,table_9,4,3,Simone Collio,,,,Italy,,,10.32,0.14,
100m,M,Olympics,2008,table_9,2,4,Aziz Zakari,,,,Ghana,,,10.34,0.177,
100m,M,Olympics,2008,table_9,6,5,Andrew Hinds,,,,Barbados,,,10.35,0.14,
100m,M,Olympics,2008,table_9,3,6,Suryo Agung Wibowo,,,,Indonesia,,,10.46,0.175,
100m,M,Olympics,2008,table_9,7,7,Jared Lewis,,,,Saint Vincent and the Grenadines,,,11,0.123,
100m,M,Olympics,2008,table_9,9,8,Rabangaki Nawai,,,,Kiribati,,,11.29,0.152,
100m,M,Olympics,2008,table_10,3,1,Michael Frater,,,,Jamaica,,,10.15,0.156,
100m,M,Olympics,2008,table_10,4,2,Pierre Browne,,,,Canada,,,10.22,0.141,
100m,M,Olympics,2008,table_10,6,3,Darrel Brown,,,,Trinidad and Tobago,,,10.22,0.139,
100m,M,Olympics,2008,table_10,7,4,Nobuharu Asahara,,,,Japan,,,10.25,0.16,
100m,M,Olympics,2008,table_10,9,5,Holder da Silva,,,,Guinea-Bissau,,,10.58,0.184,
100m,M,Olympics,2008,table_10,2,6,Idrissa Sanou,,,,Burkina Faso,,,10.63,0.171,
100m,M,Olympics,2008,table_10,8,7,Ghyd-Kermeliss-Holly Olonghot,,,,Republic of the Congo,,,11.01,0.172,
100m,M,Olympics,2008,table_10,5,8,Massoud Azizi,,,,Afghanistan,,,11.45,0.16,
100m,M,Olympics,2008,table_11,2,1,Tyson Gay,,,,United States,,,10.22,0.148,
100m,M,Olympics,2008,table_11,5,2,Olusoji A. Fasuba,,,,Nigeria,,,10.29,0.156,
100m,M,Olympics,2008,table_11,4,3,José Carlos Moreira,,,,Brazil,,,10.29,0.192,
100m,M,Olympics,2008,table_11,7,4,Ángel David Rodríguez,,,,Spain,,,10.34,0.145,
100m,M,Olympics,2008,table_11,9,5,Lukas Milo,,,,Czech Republic,,,10.52,0.145,
100m,M,Olympics,2008,table_11,8,6,Mhadjou Youssouf,,,,Comoros,,,10.62,0.17,
100m,M,Olympics,2008,table_11,3,7,Danny D'Souza,,,,Seychelles,,,11,0.18,
100m,M,Olympics,2008,table_11,6,8,Shanahan Sanitoa,,,,American Samoa,,,12.6,0.158,
100m,M,Olympics,2008,table_12,5,1,Tyrone Edgar,,,,Great Britain,,,10.13,0.138,
100m,M,Olympics,2008,table_12,6,2,Darvis Patton,,,,United States,,,10.25,0.149,
100m,M,Olympics,2008,table_12,7,3,Ronald Pognon,,,,France,,,10.26,0.167,
100m,M,Olympics,2008,table_12,2,4,Hu Kai,,,,China,,,10.39,0.152,
100m,M,Olympics,2008,table_12,4,5,Abdullah Al-Sooli,,,,Oman,,,10.53,0.153,
100m,M,Olympics,2008,table_12,8,6,Desislav Gunev,,,,Bulgaria,,,10.66,0.152,
100m,M,Olympics,2008,table_12,3,7,Ali Shareef,,,,Maldives,,,11.11,0.171,
100m,M,Olympics,2008,table_12,9,8,Souksavanh Tonsacktheva,,,,Laos,,,11.51,0.183,
100m,M,Olympics,2008,table_13,4,1,Francis Obikwelu,,,,Portugal,,,10.25,0.19,
100m,M,Olympics,2008,table_13,2,2,Obinna Metu,,,,Nigeria,,,10.34,0.176,
